wavelength_nm,chlorophyll-a,chlorophyll-b,fucoxanthin,prasinoxanthin
800.2,0.0,3.48e-05,0.00062919,0.00012841
799.3,0.0,0.0,0.000588152,0.000166389
798.5,0.0,0.0,0.000599412,0.000164548
797.6,0.0,0.0,0.000547561,0.000216315
796.7,0.0,8.62e-05,0.000491375,8.55986e-05
795.9,0.0,0.0,0.000392427,0.000204222
795.0,0.0,0.0,0.000496128,0.000199707
794.2,0.0,0.0,0.00049611,0.000107088
793.3,0.0,0.0,0.000461024,6.49234e-05
792.5,0.0,1.72e-05,0.000557554,0.000132617
791.6,0.0,6.17e-05,0.00051434,0.000122267
790.8,0.0,0.0,0.000542561,0.000175403
789.9,0.0,2.97e-05,0.000501472,8.59645e-05
789.1,0.0,0.0,0.000597777,8.0912e-05
788.2,0.0,4.19e-05,0.000480119,9.52601e-05
787.4,0.0,0.0,0.000495126,0.000205474
786.5,0.0,0.0,0.000423938,0.000198353
785.7,0.0,4.61e-05,0.00049489,0.000214331
784.8,0.0,0.0,0.000488007,0.000199776
783.9,0.0,0.0,0.000474658,0.000119147
783.1,0.0,5.25e-05,0.000519432,0.000208736
782.2,0.0,0.0,0.000601707,9.21707e-05
781.4,0.0,0.0,0.000472645,0.000147346
780.5,0.0,0.0,0.000560746,0.000147342
779.7,0.0,1.96e-05,0.000406886,8.23654e-05
778.8,0.0,4.81e-05,0.000486029,8.92118e-05
778.0,0.0,5.26e-05,0.000415956,0.000159752
777.1,0.0,0.0,0.00046586,0.00016252
776.3,0.0,2.79e-05,0.000432221,0.00012298
775.4,0.0,0.0,0.000477048,0.000197702
774.6,0.0,8.26e-06,0.000390882,7.82336e-05
773.7,0.0,0.0,0.000464965,0.000138866
772.9,0.0,0.0,0.00041925,0.000128283
772.0,0.0,0.0,0.000529981,5.25321e-05
771.1,0.0,0.0,0.000493222,2.82217e-05
770.3,0.0,0.0,0.000528313,9.63799e-05
769.4,0.0,0.0,0.00044972,0.000101787
768.6,0.0,7.81e-05,0.000404782,0.000134535
767.7,0.0,0.0,0.000468061,5.24727e-05
766.9,0.0,0.0,0.000499363,0.000143687
766.0,0.0,6.34e-05,0.000479607,8.25172e-05
765.2,0.0,0.0,0.000445982,5.78152e-05
