Wavelength,Peridinin,19'-Butanoyloxyfucoxanthin,Fucoxanthin,Neoxanthin,Prasinoxanthin,19'-keto-hexanoyloxyfucoxanthin,Violaxanthin,19'-hexanoyloxyfucoxanthin,Astaxanthin,Diadinoxanthin,Dinoxanthin,Antheraxanthin,Alloxanthin,Myxoxanthophyll,Diatoxanthin,Zeaxanthin,Lutein,Canthaxanthin,Gyroxanthin diester,Echinenone,"B,e-carotene","B,B-carotene",Chlorophyll-a,Chlorophyll-b,DV chlorophyll-a,Chlorophyllide-a,Phaeophorbide-a,Phaeophytin-a,Chlorophyll C3,chlorophyll c2
320.6,0.005465455,0.002521526,0.003041854,0.003631331,0.0021893,0.002740231,0.001637375,0.002096192,-0.010373289,0.002791957,0.001841448,0.008202782,0.001489674,-0.007356225,0.001808447,0.002939965,0.0026447,0.060945236,0.006308572,0.011485335,-0.0120045,0.010451665,,,,,,,,
321.4,0.005305408,0.00254192,0.003091997,0.003668014,0.002202209,0.002800205,0.001673086,0.001894392,-0.009871297,0.002907758,0.001760737,0.008107691,0.001512118,-0.009051837,0.001704091,0.002870388,0.002561727,0.053753261,0.006221331,0.010801304,-0.012566861,0.009295534,,,,,,,,
322.3,0.005223693,0.002671235,0.003098014,0.003741016,0.002206834,0.00265556,0.001781534,0.002003334,-0.010106014,0.003030615,0.001546746,0.008132141,0.001513802,-0.008707605,0.001897797,0.002819094,0.002667336,0.046801388,0.00654163,0.009895389,-0.012624483,0.010024513,,,,,,,,
323.1,0.005044096,0.002717109,0.003055541,0.003788771,0.002062112,0.002800286,0.001899691,0.001899444,-0.008466569,0.00314443,0.001671536,0.008070054,0.001566487,-0.007385396,0.002154375,0.002631762,0.002716422,0.039905705,0.006466829,0.009253999,-0.01076683,0.009324531,,,,,,,,
324.0,0.004910965,0.002853252,0.003123901,0.004099962,0.002170519,0.002816987,0.002180438,0.002132154,-0.007622598,0.0032793,0.001793498,0.008159075,0.001652934,-0.006010465,0.002289818,0.002629768,0.002854975,0.033756531,0.006598223,0.008530964,-0.009825532,0.010265775,,,,,,,,
324.9,0.00499529,0.002847727,0.003208896,0.004031437,0.002183768,0.00274614,0.002289443,0.002102304,-0.004573508,0.003162757,0.001841397,0.008381722,0.001730544,-0.004142885,0.002409547,0.002750693,0.002694893,0.028574243,0.006849175,0.008173547,-0.007617551,0.007649671,,,,,,,,
325.7,0.004836749,0.002902441,0.003236227,0.0043634,0.002192989,0.002916285,0.002447555,0.002186994,-0.001699306,0.003294315,0.00214062,0.008329836,0.001784106,-0.002658956,0.002244629,0.002588111,0.002854269,0.024155058,0.006896261,0.007775193,-0.004533507,0.006328553,,,,,,,,
326.6,0.004584811,0.003146615,0.003210276,0.004404111,0.002328674,0.00291063,0.002758607,0.002033658,0.002079492,0.003127524,0.002188192,0.00822544,0.001874194,-0.000709313,0.002742755,0.002513313,0.002784087,0.02062613,0.006658684,0.007379683,-0.001210335,0.004000421,,,,,,,,
327.4,0.004645693,0.002974287,0.003402814,0.004772957,0.002271887,0.002989947,0.002657279,0.002213978,0.0038627,0.003372762,0.002312646,0.008466798,0.001865099,0.000520143,0.002788161,0.002568465,0.003033254,0.017535159,0.006843641,0.007218998,0.001253592,0.003717104,,,,,,,,
328.3,0.004610986,0.003223821,0.003427036,0.004846219,0.002506858,0.003193934,0.002930299,0.002279884,0.004768536,0.003436596,0.002438082,0.008339344,0.002139788,0.000912811,0.002744486,0.00261245,0.003010074,0.015245895,0.006933863,0.007019608,0.001114566,0.002397731,,,,,,,,
329.1,0.004512788,0.00318511,0.003499489,0.004799096,0.002572601,0.003476957,0.002808898,0.002383641,0.005041451,0.003531324,0.002638736,0.0084159,0.001922511,0.001415628,0.002804536,0.002599808,0.003083461,0.013002642,0.007092262,0.007055754,0.002837658,0.001980391,,,,,,,,
330.0,0.004520768,0.003335844,0.003602272,0.00473496,0.002583804,0.00347086,0.002839117,0.002456791,0.00547575,0.003390936,0.002329357,0.008391889,0.00211113,0.001660788,0.00284887,0.0027143,0.003170769,0.011458579,0.007067432,0.006753171,0.002579097,0.001968332,,,,,,,,
330.8,0.004527145,0.003361179,0.003642225,0.004518244,0.002668705,0.003520363,0.002652264,0.002627218,0.004954937,0.003404053,0.00239556,0.008393625,0.002175119,0.001466985,0.002996785,0.002626528,0.003190778,0.010012913,0.007061239,0.006808688,0.002627178,0.002014277,,,,,,,,
331.7,0.004333388,0.003498897,0.00354966,0.004230634,0.002645992,0.003467741,0.002692855,0.00247661,0.005024657,0.003431323,0.002339633,0.008253225,0.002170871,0.001841673,0.003049164,0.002773337,0.003091631,0.008904447,0.006953911,0.006752975,0.002876363,0.002350396,,,,,,,,
332.5,0.004386936,0.003566939,0.003610657,0.00425246,0.002845631,0.003504968,0.002569193,0.002570076,0.004786661,0.00362466,0.002303719,0.008241663,0.002286783,0.002262151,0.003168731,0.002763133,0.00316542,0.007953484,0.006649924,0.006686653,0.003068728,0.002565891,,,,,,,,
333.4,0.004184821,0.003457099,0.003735327,0.004070483,0.002753273,0.003506213,0.002079537,0.002557541,0.004626393,0.003486738,0.001979177,0.008398169,0.002287687,0.002145474,0.003218806,0.002702297,0.003251518,0.00728239,0.006459683,0.006786701,0.0030211,0.002749371,,,,,,,,
334.2,0.004257055,0.003473557,0.003628654,0.003616846,0.002931347,0.00362865,0.002139956,0.002651889,0.004779168,0.003615692,0.001999056,0.007939256,0.002364963,0.002271385,0.003230795,0.002986715,0.003169055,0.006554794,0.006558461,0.006644032,0.003217937,0.00305303,,,,,,,,
335.1,0.003968371,0.003348001,0.003580042,0.003584152,0.002916968,0.003508448,0.001914226,0.002547492,0.004380808,0.003684102,0.00192485,0.008008779,0.002554095,0.002262281,0.003284972,0.002558916,0.003108935,0.005997291,0.005960304,0.006719252,0.003244054,0.003230763,,,,,,,,
335.9,0.003900787,0.00360589,0.003449318,0.003497581,0.002829654,0.003547008,0.001933538,0.002488919,0.004394762,0.003816506,0.001897042,0.00806689,0.002286173,0.002408082,0.003485931,0.00282325,0.003158537,0.005535618,0.005764935,0.006787331,0.003373685,0.003398731,,,,,,,,
336.8,0.003828426,0.00329723,0.003488333,0.003342316,0.002977446,0.003483274,0.001696767,0.002509745,0.004274874,0.004008582,0.001777539,0.008025508,0.002546548,0.002559342,0.003614125,0.002698651,0.003123202,0.005211619,0.005604494,0.006969927,0.003305683,0.003872869,,,,,,,,
337.7,0.003888248,0.003238583,0.003441351,0.003377148,0.002838991,0.003431984,0.001682852,0.002513733,0.004180798,0.004010167,0.001938768,0.008277539,0.002462485,0.002602696,0.003653119,0.00289718,0.003161973,0.004979686,0.00575837,0.007017779,0.003446725,0.004038758,,,,,,,,
338.5,0.003714413,0.003441226,0.003450585,0.003337289,0.002859668,0.003383433,0.001821712,0.002270633,0.004115907,0.004110547,0.001726931,0.008439907,0.002569156,0.002698208,0.003963521,0.002964926,0.003114009,0.004835708,0.005553147,0.007248837,0.003468611,0.004139233,,,,,,,,
339.4,0.003501897,0.00324365,0.003375024,0.003591992,0.002859224,0.003427539,0.00164589,0.002478241,0.003882002,0.004307896,0.002010061,0.007976918,0.00260173,0.002733327,0.003669839,0.002950439,0.003290125,0.004650318,0.005441918,0.006898925,0.003538884,0.004242252,,,,,,,,
340.2,0.003677722,0.003124794,0.003325328,0.003352413,0.002749205,0.00337395,0.00170332,0.002248118,0.003748734,0.004129069,0.001755423,0.008203985,0.002754517,0.002763438,0.003710872,0.002990175,0.002996487,0.00435523,0.005280235,0.007266124,0.003270928,0.004202451,,,,,,,,
341.1,0.003458749,0.003290505,0.003174601,0.003347276,0.002832482,0.003254276,0.001736836,0.002425458,0.003715381,0.004121694,0.001943399,0.007839337,0.002673478,0.002882961,0.003923172,0.002922264,0.003106595,0.004213683,0.005284406,0.007103666,0.00331707,0.004222092,,,,,,,,
341.9,0.003339994,0.003108542,0.003205575,0.00332194,0.002743969,0.00340182,0.001871015,0.00237346,0.003957998,0.004049472,0.001880511,0.008160089,0.002780031,0.002959693,0.004056108,0.003011221,0.002907131,0.004323195,0.005339781,0.007173752,0.003610186,0.004356347,,,,,,,,
342.8,0.003215324,0.003271569,0.003185873,0.003506116,0.002586329,0.003320864,0.001725324,0.002041046,0.003777828,0.004053359,0.002137895,0.007716213,0.002699233,0.003066961,0.003692918,0.002973065,0.003078445,0.004078394,0.005262831,0.007341985,0.003478786,0.004380416,,,,,,,,
343.6,0.003211216,0.003131221,0.003111865,0.003342398,0.002509092,0.003032498,0.002005469,0.002036423,0.003471887,0.003840083,0.001652528,0.008000082,0.00293327,0.003144402,0.004149623,0.00287617,0.002848755,0.003755826,0.005262135,0.007296067,0.003298415,0.004603058,,,,,,,,
344.5,0.003233962,0.002958683,0.003061201,0.003515982,0.002529558,0.002807293,0.001918308,0.002103688,0.003767766,0.003895158,0.001755224,0.007724097,0.002856744,0.003155841,0.003765153,0.003078862,0.002969624,0.00374422,0.005558865,0.007672221,0.003299458,0.004430705,,,,,,,,
345.3,0.003026182,0.003124998,0.00310519,0.003723598,0.002552987,0.002996547,0.002073963,0.002091374,0.003462171,0.003671843,0.002007188,0.007743313,0.002959948,0.003297607,0.003898937,0.002900448,0.002959087,0.003675879,0.005288313,0.007427863,0.003207123,0.004646279,,,,,,,,
346.2,0.00296945,0.003024712,0.003025138,0.003679693,0.002435075,0.00292798,0.002215201,0.00201059,0.003731315,0.003711262,0.001992766,0.007357203,0.002941958,0.00333084,0.004027749,0.002939885,0.002878143,0.003859906,0.005516208,0.007620836,0.003453417,0.004646283,,,,,,,,
347.0,0.002993406,0.002971241,0.003026391,0.003590438,0.00245601,0.002812409,0.002224362,0.002055431,0.00354831,0.003464802,0.001883271,0.00775216,0.003019244,0.003213986,0.003969735,0.003000841,0.002963499,0.003718422,0.005471093,0.007658086,0.003143466,0.004654704,,,,,,,,
347.9,0.002948126,0.002981994,0.003062052,0.003893886,0.002372781,0.003046309,0.002303901,0.0020877,0.003595485,0.003446828,0.002297231,0.007486029,0.003004822,0.003509564,0.003846381,0.002921115,0.002742514,0.003911041,0.005616999,0.007855438,0.003322701,0.004699301,,,,,,,,
348.7,0.002946149,0.003138778,0.002962815,0.003774559,0.002274947,0.002789343,0.002510564,0.00201666,0.003617487,0.003244121,0.00215309,0.007771121,0.0030884,0.003550316,0.003958041,0.003120895,0.002744398,0.003889279,0.005904888,0.007850313,0.00331255,0.004939412,,,,,,,,
349.6,0.002869697,0.003030873,0.003043807,0.003851411,0.002406996,0.002910877,0.002520557,0.001935523,0.0035626,0.00328186,0.00249915,0.007654632,0.003079164,0.003323124,0.00395373,0.002873784,0.002898624,0.004045684,0.005960661,0.007923454,0.00329941,0.00455737,,,,,,,,
350.5,0.002876299,0.003147854,0.003049335,0.003897929,0.0023634,0.003013585,0.002651817,0.001894897,0.003662005,0.003347714,0.002705693,0.007741797,0.003068499,0.003548625,0.003893503,0.002941012,0.002884253,0.00413699,0.005988274,0.008029941,0.0032109,0.004630146,0.006770929,0.006779306,0.006755395,0.01592132,0.011670585,0.008311181,0.011983196,0.01453
351.3,0.002722786,0.00321442,0.003076071,0.00407,0.00233619,0.003006872,0.002805418,0.001978006,0.003556996,0.003389272,0.002627651,0.007577551,0.003074127,0.003440904,0.00403456,0.002961727,0.002982329,0.003984611,0.006195375,0.007937591,0.003170079,0.004669742,0.006895238,0.00665815,0.006781948,0.016096597,0.012112504,0.008559366,0.011919272,0.014604027
352.2,0.00285285,0.003206453,0.003064213,0.004198708,0.002390991,0.002898213,0.002935349,0.002061752,0.003640154,0.003493414,0.002777703,0.007368154,0.003075318,0.003592299,0.004017097,0.003031268,0.003019383,0.003896402,0.006240332,0.008020551,0.003300177,0.004772534,0.007070761,0.006660643,0.006776222,0.016456838,0.012438214,0.008835965,0.011922657,0.01457525
353.0,0.002715841,0.003140079,0.003212247,0.004234237,0.002523396,0.003111413,0.002952962,0.002147807,0.003631903,0.003393741,0.002949277,0.007649508,0.003036698,0.003553796,0.004093237,0.003035524,0.003009994,0.004008396,0.006392898,0.008110836,0.003260878,0.004823073,0.007138518,0.006635824,0.006912547,0.016716406,0.012702725,0.009048893,0.011840597,0.014648185
353.9,0.002794835,0.00337603,0.003203705,0.004471601,0.002311425,0.003002012,0.003212893,0.002231645,0.003726369,0.003606819,0.00314786,0.007667879,0.002969264,0.003722194,0.004134172,0.003010167,0.003157511,0.004155119,0.006553511,0.008323151,0.003470987,0.004706861,0.007369488,0.006651921,0.006927185,0.016988493,0.012949207,0.009233594,0.011874876,0.014683577
354.7,0.002790681,0.003359848,0.003241654,0.004658601,0.002464521,0.003224033,0.003232355,0.00230199,0.003663149,0.003700349,0.003109473,0.007694702,0.003030887,0.003463381,0.004310232,0.003056441,0.003227989,0.004129438,0.006628159,0.008197691,0.003408718,0.004764538,0.00740006,0.006634579,0.007057915,0.017171962,0.013347771,0.00948391,0.011752886,0.014696027
355.6,0.002800515,0.003398636,0.00344288,0.004586112,0.002516695,0.003254791,0.003309005,0.002466098,0.003767933,0.003711974,0.003157065,0.007823464,0.003041189,0.00373486,0.004146286,0.003106709,0.003240431,0.004202264,0.006781869,0.008369424,0.003503338,0.004810324,0.007604985,0.006591957,0.007087341,0.01753549,0.013656565,0.009704043,0.01177725,0.014665696
356.4,0.002877089,0.003417976,0.00350014,0.00481627,0.002537842,0.003449618,0.003425053,0.002443933,0.003855048,0.003840603,0.003298598,0.00799614,0.003012126,0.003747258,0.004125433,0.003131029,0.003425977,0.00424824,0.006946685,0.008520638,0.003630349,0.00490012,0.007704265,0.006497818,0.007202788,0.017785744,0.014021222,0.010014496,0.01181435,0.014844945
357.3,0.002917744,0.003648931,0.003581409,0.005095562,0.002723236,0.003367631,0.003568889,0.00250782,0.003883006,0.003990227,0.003450241,0.007900839,0.003204892,0.003857078,0.004213691,0.003108354,0.003562962,0.004283818,0.007089699,0.008484071,0.003747945,0.004914519,0.007893163,0.006496829,0.007288015,0.018319846,0.014405197,0.01032394,0.011696921,0.014855725
358.1,0.002882669,0.003707812,0.003685509,0.00514921,0.002780158,0.003488878,0.003701628,0.002641088,0.003985466,0.004032096,0.003455003,0.007976211,0.003207644,0.003825862,0.004301186,0.003164388,0.003647741,0.004205549,0.007203578,0.008565171,0.003778453,0.004807191,0.007978154,0.006486986,0.007341858,0.018518761,0.014816465,0.010576089,0.011790643,0.014813388
359.0,0.002989074,0.003762215,0.003736979,0.005540025,0.002966505,0.003651535,0.004027111,0.002730819,0.00397622,0.004298235,0.00375802,0.008173221,0.003264918,0.003983853,0.004519237,0.003315958,0.003808995,0.004397595,0.007403558,0.008661524,0.003958285,0.004962894,0.00806682,0.006335784,0.007486808,0.018902527,0.015257574,0.010890563,0.011757938,0.015048239
359.8,0.002959645,0.003826946,0.003811029,0.005654661,0.003017003,0.003686218,0.00403077,0.002811834,0.003947651,0.004356473,0.003787251,0.008051647,0.003325945,0.003985701,0.004410982,0.003363817,0.003907556,0.004473335,0.007573635,0.008610205,0.003916787,0.004974919,0.008285544,0.006345609,0.007612343,0.019247043,0.01573264,0.011202577,0.011540788,0.015069922
360.7,0.003038321,0.004111698,0.004023905,0.005851564,0.003065369,0.003858294,0.004387651,0.002912637,0.00406052,0.004512046,0.004085008,0.00820288,0.003418376,0.004121111,0.004552689,0.003396823,0.003978956,0.004478096,0.007654495,0.00876431,0.004006913,0.005064454,0.008433609,0.006347762,0.007635681,0.019643453,0.016152011,0.011564341,0.011587196,0.015072668
361.5,0.00310719,0.004021403,0.004114258,0.006078256,0.00318543,0.003909739,0.004443677,0.00303232,0.004100418,0.004631605,0.004038785,0.008296145,0.003530474,0.004178109,0.00469697,0.003561478,0.00419618,0.004440639,0.00807059,0.008742605,0.004102411,0.005103229,0.008556025,0.006343493,0.007845513,0.019890495,0.016632167,0.011883828,0.011546976,0.0151604
362.4,0.003196613,0.00417275,0.004338227,0.006431138,0.003267963,0.003993758,0.00459663,0.003166832,0.004215137,0.004867196,0.00435396,0.008611756,0.003653945,0.004437602,0.004598064,0.003712703,0.004357405,0.004584606,0.008285113,0.009039332,0.004301401,0.00527715,0.008771958,0.006223758,0.007922583,0.020263087,0.017085597,0.012222062,0.011536038,0.015287294
363.3,0.00319473,0.004331829,0.004336982,0.006753471,0.003364369,0.004087469,0.004996939,0.003335178,0.004286752,0.005059734,0.004582446,0.008634307,0.003703034,0.004344754,0.004949692,0.003774403,0.004598557,0.004658167,0.008439476,0.009047595,0.004563737,0.005247874,0.008911422,0.006250479,0.008031269,0.020621137,0.017555689,0.012580373,0.011457735,0.015240231
